track,car,speedX,speedY,speedZ,angle,trackPos,rpm,gear,distRaced,damage,track0,track1,track2,track3,track4,track5,track6,track7,track8,track9,track10,track11,track12,track13,track14,track15,track16,track17,track18,focus0,focus1,focus2,focus3,focus4,wheelSpinVel0,wheelSpinVel1,wheelSpinVel2,wheelSpinVel3,opponents0,opponents1,opponents2,opponents3,opponents4,opponents5,opponents6,opponents7,opponents8,opponents9,opponents10,opponents11,opponents12,opponents13,opponents14,opponents15,opponents16,opponents17,opponents18,opponents19,opponents20,opponents21,opponents22,opponents23,opponents24,opponents25,opponents26,opponents27,opponents28,opponents29,opponents30,opponents31,opponents32,opponents33,opponents34,opponents35,steering,accel,brake,clutch,meta,focusCmd,is_ml,left,right,up,down,r,commandedGear
g-speedway,pw-evoviwrc,0.0586722,0.0944823,-0.000733395,0.0502335,0.338448,1151.92,0,0.0,3.0,9.93581,10.4268,11.8159,14.7952,21.7671,33.7063,47.2557,80.0396,200.0,200.0,146.474,90.0792,65.3978,51.6413,36.9836,27.0678,22.5571,20.5346,20.1021,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-0.759411,-0.75598,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,14.1858,200.0,200.0,200.0,20.0405,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1
g-speedway,pw-evoviwrc,0.0586722,0.0944823,-0.000733395,0.0502335,0.338448,1151.92,0,0.0,3.0,9.93581,10.4268,11.8159,14.7952,21.7671,33.7063,47.2557,80.0396,200.0,200.0,146.474,90.0792,65.3978,51.6413,36.9836,27.0678,22.5571,20.5346,20.1021,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-0.759411,-0.75598,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,14.1858,200.0,200.0,200.0,20.0405,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1
g-speedway,pw-evoviwrc,0.0586722,0.0944823,-0.000733395,0.0502335,0.338448,1151.92,0,0.0,3.0,9.93581,10.4268,11.8159,14.7952,21.7671,33.7063,47.2557,80.0396,200.0,200.0,146.474,90.0792,65.3978,51.6413,36.9836,27.0678,22.5571,20.5346,20.1021,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-0.759411,-0.75598,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,14.1858,200.0,200.0,200.0,20.0405,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1
g-speedway,pw-evoviwrc,0.0586722,0.0944823,-0.000733395,0.0502335,0.338448,1151.92,0,0.0,3.0,9.93581,10.4268,11.8159,14.7952,21.7671,33.7063,47.2557,80.0396,200.0,200.0,146.474,90.0792,65.3978,51.6413,36.9836,27.0678,22.5571,20.5346,20.1021,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-0.759411,-0.75598,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,14.1858,200.0,200.0,200.0,20.0405,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1
g-speedway,pw-evoviwrc,0.0586722,0.0944823,-0.000733395,0.0502335,0.338448,1151.92,0,0.0,3.0,9.93581,10.4268,11.8159,14.7952,21.7671,33.7063,47.2557,80.0396,200.0,200.0,146.474,90.0792,65.3978,51.6413,36.9836,27.0678,22.5571,20.5346,20.1021,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-0.759411,-0.75598,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,14.1858,200.0,200.0,200.0,20.0405,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1
g-speedway,pw-evoviwrc,0.0586722,0.0944823,-0.000733395,0.0502335,0.338448,1151.92,0,0.0,3.0,9.93581,10.4268,11.8159,14.7952,21.7671,33.7063,47.2557,80.0396,200.0,200.0,146.474,90.0792,65.3978,51.6413,36.9836,27.0678,22.5571,20.5346,20.1021,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-0.759411,-0.75598,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,14.1858,200.0,200.0,200.0,20.0405,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1
g-speedway,pw-evoviwrc,0.0586722,0.0944823,-0.000733395,0.0502335,0.338448,1151.92,0,0.0,3.0,9.93581,10.4268,11.8159,14.7952,21.7671,33.7063,47.2557,80.0396,200.0,200.0,146.474,90.0792,65.3978,51.6413,36.9836,27.0678,22.5571,20.5346,20.1021,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-0.759411,-0.75598,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,14.1858,200.0,200.0,200.0,20.0405,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1
g-speedway,pw-evoviwrc,0.0586722,0.0944823,-0.000733395,0.0502335,0.338448,1151.92,0,0.0,3.0,9.93581,10.4268,11.8159,14.7952,21.7671,33.7063,47.2557,80.0396,200.0,200.0,146.474,90.0792,65.3978,51.6413,36.9836,27.0678,22.5571,20.5346,20.1021,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-0.759411,-0.75598,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,14.1858,200.0,200.0,200.0,20.0405,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1
g-speedway,pw-evoviwrc,0.0586722,0.0944823,-0.000733395,0.0502335,0.338448,1151.92,0,0.0,3.0,9.93581,10.4268,11.8159,14.7952,21.7671,33.7063,47.2557,80.0396,200.0,200.0,146.474,90.0792,65.3978,51.6413,36.9836,27.0678,22.5571,20.5346,20.1021,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-0.759411,-0.75598,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,14.1858,200.0,200.0,200.0,20.0405,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1
g-speedway,pw-evoviwrc,0.0586722,0.0944823,-0.000733395,0.0502335,0.338448,1151.92,0,0.0,3.0,9.93581,10.4268,11.8159,14.7952,21.7671,33.7063,47.2557,80.0396,200.0,200.0,146.474,90.0792,65.3978,51.6413,36.9836,27.0678,22.5571,20.5346,20.1021,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-0.759411,-0.75598,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,14.1858,200.0,200.0,200.0,20.0405,0.0,0.04,0.0,0.0,0,0,0,0,0,1,0,0,1
